------------------------
------------------------
31/8/2020 10:1:36 msg Hello 3 30aea458f354 stats (rx_timestamp=97981393, rssi=-57, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=98, tx_counter=23, tx_frequency=868000000)
31/8/2020 10:1:37 msg Hello 3 30aea474cbcc stats (rx_timestamp=98997135, rssi=-24, snr=7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=98, tx_counter=23, tx_frequency=868000000)
31/8/2020 10:1:37 msg Hello 3 30aea458f354 stats (rx_timestamp=99204397, rssi=-57, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=98, tx_counter=23, tx_frequency=868000000)
31/8/2020 10:1:41 msg Hello 3 30aea474cbcc stats (rx_timestamp=103307151, rssi=-25, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=4, tx_time_on_air=98, tx_counter=25, tx_frequency=868000000)
31/8/2020 10:1:42 msg Hello 3 30aea458f354 stats (rx_timestamp=104317397, rssi=-57, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=4, tx_time_on_air=98, tx_counter=25, tx_frequency=868000000)
31/8/2020 10:1:42 msg Hello 4 30aea458f354 stats (rx_timestamp=104461393, rssi=-57, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=4, tx_time_on_air=98, tx_counter=25, tx_frequency=868000000)
31/8/2020 10:1:46 msg Hello 4 30aea474cbcc stats (rx_timestamp=108633129, rssi=-24, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=4, tx_time_on_air=98, tx_counter=27, tx_frequency=868000000)
31/8/2020 10:1:47 msg Hello 4 30aea458f354 stats (rx_timestamp=109638399, rssi=-57, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=4, tx_time_on_air=98, tx_counter=27, tx_frequency=868000000)
31/8/2020 10:1:48 msg Hello 4 30aea458f354 stats (rx_timestamp=109782398, rssi=-55, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=4, tx_time_on_air=98, tx_counter=27, tx_frequency=868000000)
31/8/2020 10:1:49 msg Hello 4 30aea474cbcc stats (rx_timestamp=110834132, rssi=-24, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=4, tx_time_on_air=98, tx_counter=27, tx_frequency=868000000)
