------------------------
------------------------
31/8/2020 10:5:29 msg Discover next 14 2 stats (rx_timestamp=329418544, rssi=-50, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=104, tx_frequency=868000000)
31/8/2020 10:5:34 msg Discover next 14 2 stats (rx_timestamp=335928512, rssi=-49, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=105, tx_frequency=868000000)
31/8/2020 10:5:39 msg Discover next 14 2 stats (rx_timestamp=340939557, rssi=-48, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=106, tx_frequency=868000000)
31/8/2020 10:5:44 msg Discover next 14 2 stats (rx_timestamp=344690559, rssi=-48, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=107, tx_frequency=868000000)
31/8/2020 10:5:50 msg Discover next 14 2 stats (rx_timestamp=348949563, rssi=-48, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=108, tx_frequency=868000000)
31/8/2020 10:5:55 msg Discover next 14 2 stats (rx_timestamp=356474564, rssi=-46, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=109, tx_frequency=868000000)
31/8/2020 10:6:0 msg Discover next 14 2 stats (rx_timestamp=359726569, rssi=-47, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=110, tx_frequency=868000000)
31/8/2020 10:6:5 msg Discover next 14 2 stats (rx_timestamp=365239568, rssi=-46, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=111, tx_frequency=868000000)
31/8/2020 10:6:10 msg Discover next 14 2 stats (rx_timestamp=371253620, rssi=-48, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=112, tx_frequency=868000000)
31/8/2020 10:6:15 msg Discover next 14 2 stats (rx_timestamp=375513586, rssi=-42, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=113, tx_frequency=868000000)
31/8/2020 10:6:20 msg Discover next 14 2 stats (rx_timestamp=375513586, rssi=-42, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=83, tx_counter=114, tx_frequency=868000000)
------------------------
31/8/2020 10:0:25 msg Config 2 30aea474cbcc 3c71bf877510 stats (rx_timestamp=25556882, rssi=-21, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=113, tx_counter=9, tx_frequency=868000000)
31/8/2020 10:0:28 msg Config 2 30aea474cbcc stats (rx_timestamp=27860897, rssi=-25, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=103, tx_counter=10, tx_frequency=868000000)
31/8/2020 10:0:32 msg Config 3 30aea474cbcc stats (rx_timestamp=32179909, rssi=-25, snr=7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=88, tx_counter=11, tx_frequency=868000000)
31/8/2020 10:0:35 msg Config 2 30aea474cbcc 30aea458f354 stats (rx_timestamp=35792826, rssi=-65, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=88, tx_counter=12, tx_frequency=868000000)
31/8/2020 10:0:43 msg Config 4 30aea474cbcc 30aea458f354 stats (rx_timestamp=43647832, rssi=-62, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=103, tx_counter=13, tx_frequency=868000000)
31/8/2020 10:1:11 msg stop 2 30aea474cbcc 30aea458f354 3c71bf877510 2 stats (rx_timestamp=43647832, rssi=-62, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=103, tx_counter=14, tx_frequency=868000000)
31/8/2020 10:1:11 msg stop 2 30aea474cbcc 30aea458f354 3c71bf877510 2 stats (rx_timestamp=43647832, rssi=-62, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=124, tx_counter=15, tx_frequency=868000000)
31/8/2020 10:1:19 msg Discover normal 2 3c71bf877510 stats (rx_timestamp=79559024, rssi=-15, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=124, tx_counter=16, tx_frequency=868000000)
