, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=3722, tx_frequency=868000000)
17/7/2020 2:51:8 msg Hay buena cobertura de sensor 2 10121 stats (rx_timestamp=1684680923, rssi=-108, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=3826, tx_frequency=868000000)
17/7/2020 2:51:10 msg Hay buena cobertura de sensor 2 10122 stats (rx_timestamp=1687384928, rssi=-107, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=3827, tx_frequency=868000000)
17/7/2020 2:51:13 msg Hay buena cobertura de sensor 2 10123 stats (rx_timestamp=1690112935, rssi=-107, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=3828, tx_frequency=868000000)
17/7/2020 2:51:15 msg Hay buena cobertura de sensor 2 10124 stats (rx_timestamp=1691904466, rssi=-114, snr=-8.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=3829, tx_frequency=868000000)
17/7/2020 2:51:16 msg Hay buena cobertura con ramon llull 2645 stats (rx_timestamp=1692833949, rssi=-107, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=3829, tx_frequency=868000000)
17/7/2020 2:51:18 msg Hay buena cobertura de sensor 2 10125 stats (rx_timestamp=1695542917, rssi=-106, snr=-1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=3830, tx_frequency=868000000)
17/7/2020 2:51:22 msg Hay buena cobertura de sensor 2 10126 stats (rx_timestamp=1698702971, rssi=-106, snr=-1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=3831, tx_frequency=868000000)
17/7/2020 2:51:25 msg Hay buena cobertura de sensor 2 10127 stats (rx_timestamp=1701671974, rssi=-107, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=3832, tx_frequency=868000000)
17/7/2020 2:51:27 msg Hay buena cobertura de sensor 2 10128 stats (rx_timestamp=1704383980, rssi=-107, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=3833, tx_frequency=868000000)
17/7/2020 2:51:30 msg Hay buena cobertura de sensor 2 10129 stats (rx_timestamp=1707249989, rssi=-106, snr=-1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=3834, tx_frequency=868000000)
17/7/2020 2:51:33 msg Hay buena cobertura de sensor 2 10130 stats (rx_timestamp=1709938998, rssi=-106, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=3835, tx_frequency=868000000)
17/7/2020 2:51:36 msg Hay buena cobertura de sensor 2 10131 stats (rx_timestamp=1712619964, rssi=-107, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=3836, tx_frequency=868000000)
17/7/2020 2:51:38 msg Hay buena cobertura de sensor 2 10132 stats (rx_timestamp=1715309017, rssi=-107, snr=-1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=3837, tx_frequency=868000000)
17/7/2020 2:51:51 msg Hay buena cobertura de sensor 2 10133 stats (rx_timestamp=1728421009, rssi=-106, snr=-1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=3843, tx_frequency=868000000)
17/7/2020 2:51:54 msg Hay buena cobertura de sensor 2 10138 stats (rx_timestamp=1731433027, rssi=-106, snr=-1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=3844, tx_frequency=868000000)
17/7/2020 2:51:57 msg Hay buena cobertura de sensor 2 10139 stats (rx_timestamp=1734248032, rssi=-107, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=3845, tx_frequency=868000000)
17/7/2020 2:52:0 msg Hay buena cobertura de sensor 2 10140 stats (rx_timestamp=1736905035, rssi=-106, snr=-1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=3846, tx_frequency=868000000)
17/7/2020 2:52:5 msg Hay buena cobertura de sensor 2 10141 stats (rx_timestamp=1742532094, rssi=-106, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=3848, tx_frequency=868000000)
17/7/2020 2:52:8 msg Hay buena cobertura de sensor 2 10143 stats (rx_timestamp=1745315105, rssi=-107, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=3849, tx_frequency=868000000)
17/7/2020 2:52:11 msg Hay buena cobertura de sensor 2 10144 stats (rx_timestamp=1747760111, rssi=-107, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=3850, tx_frequency=868000000)
17/7/2020 2:52:13 msg Hay buena cobertura de sensor 2 10145 stats (rx_timestamp=1750449081, rssi=-108, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=3851, tx_frequency=868000000)
17/7/2020 2:52:16 msg Hay buena cobertura de sensor 2 10146 stats (rx_timestamp=1753136088, rssi=-109, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=3852, tx_frequency=868000000)
17/7/2020 2:52:19 msg Hay buena cobertura de sensor 2 10147 stats (rx_timestamp=1755838136, rssi=-107, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=3853, tx_frequency=868000000)
17/7/2020 2:52:21 msg Hay buena cobertura de sensor 2 10148 stats (rx_timestamp=1758441144, rssi=-106, snr=-1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=3854, tx_frequency=868000000)
17/7/2020 2:52:24 msg Hay buena cobertura de sensor 2 10149 stats (rx_timestamp=1761134153, rssi=-106, snr=-1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=3855, tx_frequency=868000000)
17/7/2020 2:52:27 msg Hay buena cobertura de sensor 2 10150 stats (rx_timestamp=1763841160, rssi=-107, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=129, tx_counter=3856, tx_frequency=868000000)
17/7/2020 2:52:29 msg Hay buena cobertura de sensor 2 10151 stats (rx_timestamp=1766554130, rssi=-107, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=124, tx_counter=3857, tx_frequency=868000000)
