6ç#ÓrãÂ6g'ƒÓrÂ6gGƒÓrÂG…÷G&–Ç3Ó, tx_power=3, tx_time_on_air=88, tx_counter=10, tx_frequency=868000000)
28/7/2020 12:6:13 msg Hello 6 3c71bf877510 stats (rx_timestamp=1815531478, rssi=-92, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=6, tx_time_on_air=83, tx_counter=16, tx_frequency=868000000)
28/7/2020 12:6:17 msg Hello 7 3c71bf877510 stats (rx_timestamp=1819343469, rssi=-92, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=6, tx_time_on_air=83, tx_counter=16, tx_frequency=868000000)
28/7/2020 12:6:21 msg Hello 7 3c71bf877510 stats (rx_timestamp=1823067464, rssi=-93, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=6, tx_time_on_air=83, tx_counter=16, tx_frequency=868000000)
28/7/2020 12:6:23 msg Discover normal 7 30aea458f354 stats (rx_timestamp=1824921544, rssi=-124, snr=-8.0, sfrx=7, sftx=7, tx_trials=0, tx_power=6, tx_time_on_air=83, tx_counter=16, tx_frequency=868000000)
28/7/2020 12:6:24 msg Hello 7 3c71bf877510 stats (rx_timestamp=1825756476, rssi=-92, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=7, tx_time_on_air=83, tx_counter=17, tx_frequency=868000000)
28/7/2020 12:6:27 msg Discover normal 7 30aea458f354 stats (rx_timestamp=1828957525, rssi=-124, snr=-8.0, sfrx=7, sftx=7, tx_trials=0, tx_power=7, tx_time_on_air=83, tx_counter=17, tx_frequency=868000000)
28/7/2020 12:6:29 msg Hello 7 3c71bf877510 stats (rx_timestamp=1830749456, rssi=-92, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=7, tx_time_on_air=83, tx_counter=18, tx_frequency=868000000)
28/7/2020 12:6:31 msg Discover normal 8 30aea458f354 stats (rx_timestamp=1832767512, rssi=-125, snr=-8.0, sfrx=7, sftx=7, tx_trials=0, tx_power=7, tx_time_on_air=83, tx_counter=18, tx_frequency=868000000)
28/7/2020 12:6:32 msg Hello 8 3c71bf877510 stats (rx_timestamp=1834565457, rssi=-92, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=83, tx_counter=19, tx_frequency=868000000)
28/7/2020 12:6:35 msg Discover normal 8 30aea458f354 stats (rx_timestamp=1836833494, rssi=-125, snr=-8.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=83, tx_counter=19, tx_frequency=868000000)
