dencia 822 stats (rx_timestamp=2351314732, rssi=-104, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=822, tx_frequency=868000000)
28/7/2020 9:30:58 msg Hello 4 30aea458f354 stats (rx_timestamp=2698674842, rssi=-113, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=4, tx_time_on_air=83, tx_counter=903, tx_frequency=868000000)
28/7/2020 9:31:1 msg Hello 4 30aea458f354 stats (rx_timestamp=2702051839, rssi=-112, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=4, tx_time_on_air=83, tx_counter=904, tx_frequency=868000000)
28/7/2020 9:31:5 msg Hello 5 30aea458f354 stats (rx_timestamp=2705403851, rssi=-112, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=5, tx_time_on_air=83, tx_counter=905, tx_frequency=868000000)
28/7/2020 9:31:8 msg Hello 5 30aea458f354 stats (rx_timestamp=2708763858, rssi=-112, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=5, tx_time_on_air=83, tx_counter=906, tx_frequency=868000000)
28/7/2020 9:31:11 msg Hello 5 30aea458f354 stats (rx_timestamp=2712294856, rssi=-111, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=5, tx_time_on_air=83, tx_counter=907, tx_frequency=868000000)
28/7/2020 9:31:15 msg Hello 5 30aea458f354 stats (rx_timestamp=2715660859, rssi=-111, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=5, tx_time_on_air=83, tx_counter=908, tx_frequency=868000000)
28/7/2020 9:31:18 msg Hello 6 30aea458f354 stats (rx_timestamp=2719019865, rssi=-112, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=6, tx_time_on_air=83, tx_counter=909, tx_frequency=868000000)
28/7/2020 9:31:21 msg Hello 6 30aea458f354 stats (rx_timestamp=2722365872, rssi=-112, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=6, tx_time_on_air=83, tx_counter=910, tx_frequency=868000000)
28/7/2020 9:31:24 msg Hello 6 30aea458f354 stats (rx_timestamp=2725718881, rssi=-111, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=6, tx_time_on_air=83, tx_counter=911, tx_frequency=868000000)
28/7/2020 9:31:28 msg Hello 6 30aea458f354 stats (rx_timestamp=2729084885, rssi=-111, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=6, tx_time_on_air=83, tx_counter=912, tx_frequency=868000000)
28/7/2020 9:31:32 msg Hello 7 30aea458f354 stats (rx_timestamp=2732464888, rssi=-111, snr=3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=7, tx_time_on_air=83, tx_counter=913, tx_frequency=868000000)
28/7/2020 9:31:35 msg Hello 7 30aea458f354 stats (rx_timestamp=2735846897, rssi=-110, snr=-0.0, sfrx=7, sftx=7, tx_trials=0, tx_power=7, tx_time_on_air=83, tx_counter=914, tx_frequency=868000000)
28/7/2020 9:31:38 msg Hello 7 30aea458f354 stats (rx_timestamp=2739375897, rssi=-111, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=7, tx_time_on_air=83, tx_counter=915, tx_frequency=868000000)
28/7/2020 9:31:42 msg Hello 7 30aea458f354 stats (rx_timestamp=2742733898, rssi=-109, snr=-1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=7, tx_time_on_air=83, tx_counter=916, tx_frequency=868000000)
28/7/2020 9:31:45 msg Hello 8 30aea458f354 stats (rx_timestamp=2746084899, rssi=-110, snr=3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=83, tx_counter=917, tx_frequency=868000000)
28/7/2020 9:31:49 msg Hello 8 30aea458f354 stats (rx_timestamp=2749449910, rssi=-111, snr=3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=83, tx_counter=918, tx_frequency=868000000)
28/7/2020 9:31:52 msg Hello 8 30aea458f354 stats (rx_timestamp=2752799914, rssi=-110, snr=3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=83, tx_counter=919, tx_frequency=868000000)
28/7/2020 9:31:56 msg Hello 8 30aea458f354 stats (rx_timestamp=2756172914, rssi=-109, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=83, tx_counter=920, tx_frequency=868000000)
28/7/2020 9:31:58 msg Hello 9 30aea458f354 stats (rx_timestamp=2759535922, rssi=-109, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=9, tx_time_on_air=83, tx_counter=921, tx_frequency=868000000)
28/7/2020 9:32:2 msg Hello 9 30aea458f354 stats (rx_timestamp=2763071925, rssi=-109, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=9, tx_time_on_air=83, tx_counter=922, tx_frequency=868000000)
28/7/2020 9:32:6 msg Hello 9 30aea458f354 stats (rx_timestamp=2766426937, rssi=-109, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=9, tx_time_on_air=83, tx_counter=923, tx_frequency=868000000)
28/7/2020 9:32:9 msg Hello 9 30aea458f354 stats (rx_timestamp=2769808958, rssi=-108, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=9, tx_time_on_air=83, tx_counter=924, tx_frequency=868000000)
28/7/2020 9:32:13 msg Hello 10 30aea458f354 stats (rx_timestamp=2773182962, rssi=-106, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=10, tx_time_on_air=83, tx_counter=925, tx_frequency=868000000)
28/7/2020 9:32:16 msg Hello 10 30aea458f354 stats (rx_timestamp=2776559969, rssi=-109, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=10, tx_time_on_air=83, tx_counter=926, tx_frequency=868000000)
