------------------------
15/9/2020 0:16:29 msg Hello 3 30aea458f354 stats (rx_timestamp=989997959, rssi=-99, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=245, tx_frequency=868000000)
15/9/2020 0:16:31 msg Hello 3 30aea458f354 stats (rx_timestamp=992667956, rssi=-98, snr=7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=246, tx_frequency=868000000)
15/9/2020 0:18:13 msg Hello 11 30aea458f354 stats (rx_timestamp=1094659377, rssi=-125, snr=-9.0, sfrx=7, sftx=7, tx_trials=0, tx_power=11, tx_time_on_air=83, tx_counter=247, tx_frequency=868000000)
15/9/2020 0:18:32 msg Hello 13 30aea458f354 stats (rx_timestamp=1113627494, rssi=-99, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=83, tx_counter=248, tx_frequency=868000000)
15/9/2020 0:18:36 msg Hello 13 30aea458f354 stats (rx_timestamp=1118790204, rssi=-122, snr=-7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=83, tx_counter=249, tx_frequency=868000000)
15/9/2020 0:18:44 msg Discover end 2 3 stats (rx_timestamp=1126435313, rssi=-99, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=83, tx_counter=250, tx_frequency=868000000)
15/9/2020 0:18:49 msg Discover end 2 3 stats (rx_timestamp=1131568301, rssi=-99, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=78, tx_counter=251, tx_frequency=868000000)
15/9/2020 0:18:50 msg Discover end 2 3 stats (rx_timestamp=1131568301, rssi=-99, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=78, tx_counter=252, tx_frequency=868000000)
15/9/2020 0:19:53 msg Info 30aea458f354 3c71bf875fa8 150 48 51 30 52 0 1 stats (rx_timestamp=1195001197, rssi=-87, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=78, tx_counter=253, tx_frequency=868000000)
15/9/2020 0:20:23 msg Info 30aea458f354 3c71bf875fa8 150 48 51 30 52 0 1 stats (rx_timestamp=1195684199, rssi=-88, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=129, tx_counter=254, tx_frequency=868000000)
