------------------------
15/9/2020 0:16:25 msg Discover normal 3 3c71bf875fa8 stats (rx_timestamp=987326962, rssi=-98, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=244, tx_frequency=868000000)
15/9/2020 0:16:28 msg Discover normal 3 3c71bf875fa8 stats (rx_timestamp=989997959, rssi=-99, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=245, tx_frequency=868000000)
15/9/2020 0:16:30 msg Discover normal 3 3c71bf875fa8 stats (rx_timestamp=992667956, rssi=-98, snr=7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=246, tx_frequency=868000000)
15/9/2020 0:16:33 msg Discover next 4 0 stats (rx_timestamp=995315478, rssi=-87, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=247, tx_frequency=868000000)
15/9/2020 0:16:41 msg Hello 2 3c71bf875fa8 stats (rx_timestamp=1003743618, rssi=-98, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=247, tx_frequency=868000000)
15/9/2020 0:16:47 msg Hello 2 3c71bf875fa8 stats (rx_timestamp=1009098608, rssi=-98, snr=7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=247, tx_frequency=868000000)
15/9/2020 0:16:53 msg Hello 3 3c71bf875fa8 stats (rx_timestamp=1015486606, rssi=-98, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=247, tx_frequency=868000000)
15/9/2020 0:17:3 msg Hello 4 3c71bf875fa8 stats (rx_timestamp=1025197553, rssi=-98, snr=7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=247, tx_frequency=868000000)
15/9/2020 0:17:6 msg Hello 4 3c71bf875fa8 stats (rx_timestamp=1027867546, rssi=-98, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=247, tx_frequency=868000000)
15/9/2020 0:17:9 msg Hello 5 3c71bf875fa8 stats (rx_timestamp=1031538547, rssi=-98, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=247, tx_frequency=868000000)
15/9/2020 0:17:11 msg Hello 5 3c71bf875fa8 stats (rx_timestamp=1033222538, rssi=-99, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=247, tx_frequency=868000000)
