rx_timestamp=2793744613, rssi=-122, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
19/8/2020 12:4:23 msg Config 12 30aea474cbcc 3c71bf875fa8 3c71bf877510 stats (rx_timestamp=3174906569, rssi=-121, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
19/8/2020 12:4:27 msg Config 13 30aea474cbcc 3c71bf875fa8 3c71bf877510 stats (rx_timestamp=3178877516, rssi=-120, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
19/8/2020 12:4:35 msg Config 14 30aea474cbcc 3c71bf875fa8 3c71bf877510 stats (rx_timestamp=3187314493, rssi=-116, snr=-1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
19/8/2020 12:4:39 msg Config 14 30aea474cbcc 3c71bf875fa8 3c71bf877510 stats (rx_timestamp=3190771486, rssi=-116, snr=-1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
19/8/2020 12:5:33 msg Config 9 30aea474cbcc 3c71bf875fa8 3c71bf877510 stats (rx_timestamp=3244853274, rssi=-122, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
19/8/2020 12:5:41 msg Config 10 30aea474cbcc 3c71bf875fa8 3c71bf877510 stats (rx_timestamp=3253310337, rssi=-121, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
19/8/2020 12:5:45 msg Config 10 30aea474cbcc 3c71bf875fa8 3c71bf877510 stats (rx_timestamp=3256796329, rssi=-123, snr=-7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
19/8/2020 12:5:48 msg Config 11 30aea474cbcc 3c71bf875fa8 3c71bf877510 stats (rx_timestamp=3259966273, rssi=-121, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
19/8/2020 12:5:52 msg Config 11 30aea474cbcc 3c71bf875fa8 3c71bf877510 stats (rx_timestamp=3263929261, rssi=-122, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
19/8/2020 12:6:0 msg Config 12 30aea474cbcc 3c71bf875fa8 3c71bf877510 stats (rx_timestamp=3271402288, rssi=-121, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
19/8/2020 12:6:3 msg Config 13 30aea474cbcc 3c71bf875fa8 3c71bf877510 stats (rx_timestamp=3274892238, rssi=-120, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
19/8/2020 12:6:6 msg Config 13 30aea474cbcc 3c71bf875fa8 3c71bf877510 stats (rx_timestamp=3277864227, rssi=-120, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
19/8/2020 12:6:8 msg Config 14 30aea474cbcc 3c71bf875fa8 3c71bf877510 stats (rx_timestamp=3280346211, rssi=-119, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
19/8/2020 12:6:11 msg Config 14 30aea474cbcc 3c71bf875fa8 3c71bf877510 stats (rx_timestamp=3282824203, rssi=-119, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
19/8/2020 12:7:3 msg Config 8 30aea474cbcc 3c71bf875fa8 3c71bf877510 stats (rx_timestamp=3334394048, rssi=-124, snr=-7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
19/8/2020 12:7:6 msg Config 9 30aea474cbcc 3c71bf875fa8 3c71bf877510 stats (rx_timestamp=3337877997, rssi=-122, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
19/8/2020 12:7:9 msg Config 9 30aea474cbcc 3c71bf875fa8 3c71bf877510 stats (rx_timestamp=3340849987, rssi=-123, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
19/8/2020 12:7:21 msg Config 11 30aea474cbcc 3c71bf875fa8 3c71bf877510 stats (rx_timestamp=3353282992, rssi=-119, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
19/8/2020 12:7:26 msg Config 11 30aea474cbcc 3c71bf875fa8 3c71bf877510 stats (rx_timestamp=3357433977, rssi=-120, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
19/8/2020 12:7:30 msg Config 12 30aea474cbcc 3c71bf875fa8 3c71bf877510 stats (rx_timestamp=3361912008, rssi=-120, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
19/8/2020 12:7:34 msg Config 12 30aea474cbcc 3c71bf875fa8 3c71bf877510 stats (rx_timestamp=3365387000, rssi=-119, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
19/8/2020 12:7:37 msg Config 13 30aea474cbcc 3c71bf875fa8 3c71bf877510 stats (rx_timestamp=3368374945, rssi=-118, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
19/8/2020 12:7:40 msg Config 13 30aea474cbcc 3c71bf875fa8 3c71bf877510 stats (rx_timestamp=3372346939, rssi=-118, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
19/8/2020 12:7:43 msg Config 14 30aea474cbcc 3c71bf875fa8 3c71bf877510 stats (rx_timestamp=3375314929, rssi=-116, snr=-1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
19/8/2020 12:7:48 msg Config 14 30aea474cbcc 3c71bf875fa8 3c71bf877510 stats (rx_timestamp=3379278913, rssi=-116, snr=-1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
19/8/2020 12:8:24 msg Config 7 30aea474cbcc 3c71bf875fa8 3c71bf877510 stats (rx_timestamp=3416280763, rssi=-125, snr=-8.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
19/8/2020 12:8:33 msg Config 8 30aea474cbcc 3c71bf875fa8 3c71bf877510 stats (rx_timestamp=3424445783, rssi=-122, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
19/8/2020 12:8:36 msg Config 8 30aea474cbcc 3c71bf875fa8 3c71bf877510 stats (rx_timestamp=3427434769, rssi=-123, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
19/8/2020 12:8:40 msg Config 9 30aea474cbcc 3c71bf875fa8 3c71bf877510 stats (rx_timestamp=3431428715, rssi=-122, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
19/8/2020 12:8:44 msg Config 9 30aea474cbcc 3c71bf875fa8 3c71bf877510 stats (rx_timestamp=3435923696, rssi=-120, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=103, tx_counter=221, tx_frequency=868000000)
