------------------------
27/7/2020 9:40:20 msg Hello 13 30aea458f354 stats (rx_timestamp=440356350, rssi=-119, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=83, tx_counter=80, tx_frequency=868000000)
27/7/2020 9:40:28 msg Hello 13 30aea458f354 stats (rx_timestamp=449807860, rssi=-100, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=83, tx_counter=81, tx_frequency=868000000)
27/7/2020 9:42:31 msg Discover end 8 3 stats (rx_timestamp=572556150, rssi=-100, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=83, tx_counter=82, tx_frequency=868000000)
27/7/2020 9:43:31 msg Info 30aea458f354 3c71bf877510 150 50 50 30 48 0 1 stats (rx_timestamp=632986252, rssi=-100, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=78, tx_counter=83, tx_frequency=868000000)
27/7/2020 9:43:35 msg Info 30aea458f354 3c71bf877510 150 50 50 30 48 0 1 stats (rx_timestamp=634703519, rssi=-119, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=129, tx_counter=84, tx_frequency=868000000)
27/7/2020 9:43:39 msg Info 30aea458f354 3c71bf877510 150 50 50 30 48 0 1 stats (rx_timestamp=638413528, rssi=-119, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=129, tx_counter=85, tx_frequency=868000000)
27/7/2020 9:56:4 msg Info 30aea458f354 3c71bf877510 150 49 49 30 51 0 1 stats (rx_timestamp=1385960019, rssi=-118, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=129, tx_counter=86, tx_frequency=868000000)
27/7/2020 9:56:8 msg Info 30aea458f354 3c71bf877510 150 49 49 30 51 0 1 stats (rx_timestamp=1387853217, rssi=-119, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=129, tx_counter=87, tx_frequency=868000000)
27/7/2020 9:56:12 msg Info 30aea458f354 3c71bf877510 150 49 49 30 51 0 1 stats (rx_timestamp=1391427227, rssi=-119, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=129, tx_counter=88, tx_frequency=868000000)
27/7/2020 10:8:38 msg Info 30aea458f354 3c71bf877510 150 49 48 30 51 0 1 stats (rx_timestamp=2139031787, rssi=-119, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=129, tx_counter=89, tx_frequency=868000000)
27/7/2020 10:8:42 msg Info 30aea458f354 3c71bf877510 150 49 48 30 51 0 1 stats (rx_timestamp=2139031787, rssi=-119, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=129, tx_counter=90, tx_frequency=868000000)
27/7/2020 10:8:45 msg Info 30aea458f354 3c71bf877510 150 49 48 30 51 0 1 stats (rx_timestamp=2144725985, rssi=-118, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=129, tx_counter=91, tx_frequency=868000000)
27/7/2020 10:8:49 msg Info 30aea458f354 30aea474cbcc 150 49 48 30 51 0 1 stats (rx_timestamp=2144725985, rssi=-118, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=129, tx_counter=92, tx_frequency=868000000)
27/7/2020 10:8:53 msg Info 30aea458f354 30aea474cbcc 150 49 48 30 51 0 1 stats (rx_timestamp=2152098992, rssi=-117, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=129, tx_counter=93, tx_frequency=868000000)
------------------------
