------------------------
------------------------
------------------------
29/7/2020 11:37:32 msg Discover normal 2 3c71bf875fa8 stats (rx_timestamp=213786894, rssi=-118, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=83, tx_counter=54, tx_frequency=868000000)
29/7/2020 11:37:35 msg Discover next 3 0 stats (rx_timestamp=217026448, rssi=-108, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=83, tx_counter=55, tx_frequency=868000000)
29/7/2020 11:37:36 msg Hello 2 30aea474cbcc stats (rx_timestamp=218443180, rssi=-125, snr=-8.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=83, tx_counter=55, tx_frequency=868000000)
29/7/2020 11:37:40 msg Discover next 3 0 stats (rx_timestamp=222562449, rssi=-109, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=83, tx_counter=55, tx_frequency=868000000)
29/7/2020 11:37:46 msg Discover next 3 0 stats (rx_timestamp=227899446, rssi=-109, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=83, tx_counter=55, tx_frequency=868000000)
29/7/2020 11:37:49 msg Discover normal 2 30aea474cbcc stats (rx_timestamp=231443487, rssi=-125, snr=-8.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=83, tx_counter=55, tx_frequency=868000000)
29/7/2020 11:37:54 msg Hello 2 3c71bf875fa8 stats (rx_timestamp=236120573, rssi=-120, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=83, tx_counter=56, tx_frequency=868000000)
29/7/2020 11:37:55 msg Discover normal 2 30aea474cbcc stats (rx_timestamp=237464483, rssi=-125, snr=-8.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=83, tx_counter=56, tx_frequency=868000000)
29/7/2020 11:37:59 msg Discover normal 3 30aea474cbcc stats (rx_timestamp=240591518, rssi=-124, snr=-7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=83, tx_counter=57, tx_frequency=868000000)
29/7/2020 11:38:0 msg Hello 3 3c71bf875fa8 stats (rx_timestamp=242565564, rssi=-120, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=58, tx_frequency=868000000)
29/7/2020 11:38:3 msg Hello 3 3c71bf875fa8 stats (rx_timestamp=245565564, rssi=-118, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=58, tx_frequency=868000000)
29/7/2020 11:38:5 msg Discover normal 3 30aea474cbcc stats (rx_timestamp=247486502, rssi=-124, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=58, tx_frequency=868000000)
29/7/2020 11:38:6 msg Hello 3 3c71bf875fa8 stats (rx_timestamp=248090559, rssi=-117, snr=-1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=58, tx_frequency=868000000)
