0, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=113, tx_counter=3, tx_frequency=868000000)
29/7/2020 11:36:2 msg Discover normal 7 30aea458f2e4 stats (rx_timestamp=122988551, rssi=-118, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=7, tx_time_on_air=98, tx_counter=27, tx_frequency=868000000)
29/7/2020 11:36:5 msg Discover normal 8 30aea458f2e4 stats (rx_timestamp=126074551, rssi=-116, snr=-1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=98, tx_counter=28, tx_frequency=868000000)
29/7/2020 11:36:8 msg Discover normal 8 30aea458f2e4 stats (rx_timestamp=129164550, rssi=-119, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=98, tx_counter=29, tx_frequency=868000000)
29/7/2020 11:36:11 msg Discover normal 8 30aea458f2e4 stats (rx_timestamp=132239559, rssi=-119, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=98, tx_counter=30, tx_frequency=868000000)
29/7/2020 11:36:14 msg Discover normal 8 30aea458f2e4 stats (rx_timestamp=132239559, rssi=-119, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=8, tx_time_on_air=98, tx_counter=31, tx_frequency=868000000)
29/7/2020 11:36:17 msg Discover normal 9 30aea458f2e4 stats (rx_timestamp=138195552, rssi=-118, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=9, tx_time_on_air=98, tx_counter=32, tx_frequency=868000000)
29/7/2020 11:36:20 msg Discover normal 9 30aea458f2e4 stats (rx_timestamp=138195552, rssi=-118, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=9, tx_time_on_air=98, tx_counter=33, tx_frequency=868000000)
29/7/2020 11:36:23 msg Discover normal 9 30aea458f2e4 stats (rx_timestamp=143552198, rssi=-121, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=9, tx_time_on_air=98, tx_counter=34, tx_frequency=868000000)
29/7/2020 11:36:27 msg Discover normal 9 30aea458f2e4 stats (rx_timestamp=147427545, rssi=-121, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=9, tx_time_on_air=98, tx_counter=35, tx_frequency=868000000)
29/7/2020 11:36:30 msg Discover normal 10 30aea458f2e4 stats (rx_timestamp=150677552, rssi=-119, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=10, tx_time_on_air=98, tx_counter=36, tx_frequency=868000000)
29/7/2020 11:36:33 msg Discover normal 10 30aea458f2e4 stats (rx_timestamp=153011608, rssi=-119, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=10, tx_time_on_air=98, tx_counter=37, tx_frequency=868000000)
29/7/2020 11:36:36 msg Discover normal 10 30aea458f2e4 stats (rx_timestamp=157114607, rssi=-121, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=10, tx_time_on_air=98, tx_counter=38, tx_frequency=868000000)
29/7/2020 11:36:39 msg Discover normal 10 30aea458f2e4 stats (rx_timestamp=157114607, rssi=-121, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=10, tx_time_on_air=98, tx_counter=39, tx_frequency=868000000)
29/7/2020 11:36:42 msg Discover normal 11 30aea458f2e4 stats (rx_timestamp=163525250, rssi=-117, snr=-1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=11, tx_time_on_air=98, tx_counter=40, tx_frequency=868000000)
29/7/2020 11:36:46 msg Discover normal 11 30aea458f2e4 stats (rx_timestamp=167062242, rssi=-115, snr=-0.0, sfrx=7, sftx=7, tx_trials=0, tx_power=11, tx_time_on_air=98, tx_counter=41, tx_frequency=868000000)
29/7/2020 11:36:49 msg Discover normal 11 30aea458f2e4 stats (rx_timestamp=170160238, rssi=-116, snr=-1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=11, tx_time_on_air=98, tx_counter=42, tx_frequency=868000000)
29/7/2020 11:36:52 msg Discover normal 11 30aea458f2e4 stats (rx_timestamp=173196611, rssi=-122, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=11, tx_time_on_air=98, tx_counter=43, tx_frequency=868000000)
29/7/2020 11:36:55 msg Discover normal 12 30aea458f2e4 stats (rx_timestamp=173196611, rssi=-122, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=98, tx_counter=44, tx_frequency=868000000)
29/7/2020 11:36:58 msg Discover normal 12 30aea458f2e4 stats (rx_timestamp=179586228, rssi=-114, snr=0.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=98, tx_counter=45, tx_frequency=868000000)
29/7/2020 11:37:2 msg Discover normal 12 30aea458f2e4 stats (rx_timestamp=182622603, rssi=-119, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=98, tx_counter=46, tx_frequency=868000000)
29/7/2020 11:37:4 msg Discover normal 12 30aea458f2e4 stats (rx_timestamp=182622603, rssi=-119, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=12, tx_time_on_air=98, tx_counter=47, tx_frequency=868000000)
29/7/2020 11:37:8 msg Discover normal 13 30aea458f2e4 stats (rx_timestamp=187994226, rssi=-113, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=98, tx_counter=48, tx_frequency=868000000)
29/7/2020 11:37:11 msg Discover normal 13 30aea458f2e4 stats (rx_timestamp=192296218, rssi=-114, snr=0.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=98, tx_counter=49, tx_frequency=868000000)
29/7/2020 11:37:14 msg Discover normal 13 30aea458f2e4 stats (rx_timestamp=194784218, rssi=-114, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=98, tx_counter=50, tx_frequency=868000000)
