------------------------
27/7/2020 11:6:3 msg Hay buena cobertura de sensor 2 parc bit32 stats (rx_timestamp=368726069, rssi=-110, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=113, tx_counter=32, tx_frequency=868000000)
27/7/2020 11:6:14 msg Hay buena cobertura de sensor 2 parc bit33 stats (rx_timestamp=379452992, rssi=-110, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=119, tx_counter=33, tx_frequency=868000000)
27/7/2020 11:6:25 msg Hay buena cobertura de sensor 2 parc bit34 stats (rx_timestamp=390428932, rssi=-109, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=119, tx_counter=34, tx_frequency=868000000)
27/7/2020 11:6:37 msg Hay buena cobertura de sensor 2 parc bit35 stats (rx_timestamp=402047849, rssi=-108, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=119, tx_counter=35, tx_frequency=868000000)
27/7/2020 11:6:48 msg Hay buena cobertura de sensor 2 parc bit36 stats (rx_timestamp=412606743, rssi=-108, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=119, tx_counter=36, tx_frequency=868000000)
27/7/2020 11:6:59 msg Hay buena cobertura de sensor 2 parc bit37 stats (rx_timestamp=423748688, rssi=-110, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=119, tx_counter=37, tx_frequency=868000000)
27/7/2020 11:7:10 msg Hay buena cobertura de sensor 2 parc bit38 stats (rx_timestamp=435267583, rssi=-109, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=113, tx_counter=38, tx_frequency=868000000)
27/7/2020 11:7:21 msg Hay buena cobertura de sensor 2 parc bit39 stats (rx_timestamp=446624520, rssi=-108, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=119, tx_counter=39, tx_frequency=868000000)
27/7/2020 11:7:32 msg Hay buena cobertura de sensor 2 parc bit40 stats (rx_timestamp=458207438, rssi=-108, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=119, tx_counter=40, tx_frequency=868000000)
27/7/2020 11:7:44 msg Hay buena cobertura de sensor 2 parc bit41 stats (rx_timestamp=468929342, rssi=-108, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=119, tx_counter=41, tx_frequency=868000000)
27/7/2020 11:7:55 msg Hay buena cobertura de sensor 2 parc bit42 stats (rx_timestamp=480389268, rssi=-109, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=119, tx_counter=42, tx_frequency=868000000)
27/7/2020 11:8:6 msg Hay buena cobertura de sensor 2 parc bit43 stats (rx_timestamp=491534190, rssi=-109, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=119, tx_counter=43, tx_frequency=868000000)
27/7/2020 11:8:18 msg Hay buena cobertura de sensor 2 parc bit44 stats (rx_timestamp=502950082, rssi=-108, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=113, tx_counter=44, tx_frequency=868000000)
27/7/2020 11:8:29 msg Hay buena cobertura de sensor 2 parc bit45 stats (rx_timestamp=513731005, rssi=-108, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=113, tx_counter=45, tx_frequency=868000000)
27/7/2020 11:8:40 msg Hay buena cobertura de sensor 2 parc bit46 stats (rx_timestamp=524804944, rssi=-109, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=113, tx_counter=46, tx_frequency=868000000)
27/7/2020 11:8:51 msg Hay buena cobertura de sensor 2 parc bit47 stats (rx_timestamp=536164843, rssi=-109, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=119, tx_counter=47, tx_frequency=868000000)
27/7/2020 11:9:3 msg Hay buena cobertura de sensor 2 parc bit48 stats (rx_timestamp=549213761, rssi=-106, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=119, tx_counter=48, tx_frequency=868000000)
27/7/2020 11:9:14 msg Hay buena cobertura de sensor 2 parc bit49 stats (rx_timestamp=560798680, rssi=-106, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=113, tx_counter=49, tx_frequency=868000000)
27/7/2020 11:9:26 msg Hay buena cobertura de sensor 2 parc bit50 stats (rx_timestamp=572038575, rssi=-106, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=119, tx_counter=50, tx_frequency=868000000)
27/7/2020 11:9:37 msg Hay buena cobertura de sensor 2 parc bit51 stats (rx_timestamp=583436506, rssi=-108, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=113, tx_counter=51, tx_frequency=868000000)
27/7/2020 11:9:49 msg Hay buena cobertura de sensor 2 parc bit52 stats (rx_timestamp=594789425, rssi=-106, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=113, tx_counter=52, tx_frequency=868000000)
27/7/2020 11:10:0 msg Hay buena cobertura de sensor 2 parc bit53 stats (rx_timestamp=606313315, rssi=-108, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=119, tx_counter=53, tx_frequency=868000000)
27/7/2020 11:10:11 msg Hay buena cobertura de sensor 2 parc bit54 stats (rx_timestamp=615164270, rssi=-108, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=119, tx_counter=54, tx_frequency=868000000)
27/7/2020 11:10:22 msg Hay buena cobertura de sensor 2 parc bit55 stats (rx_timestamp=626500162, rssi=-106, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=119, tx_counter=55, tx_frequency=868000000)
27/7/2020 11:10:33 msg Hay buena cobertura de sensor 2 parc bit56 stats (rx_timestamp=638043101, rssi=-108, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=119, tx_counter=56, tx_frequency=868000000)
27/7/2020 11:10:44 msg Hay buena cobertura de sensor 2 parc bit57 stats (rx_timestamp=648397997, rssi=-106, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=119, tx_counter=57, tx_frequency=868000000)
27/7/2020 11:10:55 msg Hay buena cobertura de sensor 2 parc bit58 stats (rx_timestamp=659765904, rssi=-106, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=113, tx_counter=58, tx_frequency=868000000)
27/7/2020 11:11:7 msg Hay buena cobertura de sensor 2 parc bit59 stats (rx_timestamp=673142804, rssi=-106, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=119, tx_counter=59, tx_frequency=868000000)
27/7/2020 11:11:18 msg Hay buena cobertura de sensor 2 parc bit60 stats (rx_timestamp=684237740, rssi=-106, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=119, tx_counter=60, tx_frequency=868000000)
27/7/2020 11:11:29 msg Hay buena cobertura de sensor 2 parc bit61 stats (rx_timestamp=695116643, rssi=-108, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=119, tx_counter=61, tx_frequency=868000000)
27/7/2020 11:11:41 msg Hay buena cobertura de sensor 2 parc bit62 stats (rx_timestamp=706371573, rssi=-108, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=113, tx_counter=62, tx_frequency=868000000)
27/7/2020 11:11:52 msg Hay buena cobertura de sensor 2 parc bit63 stats (rx_timestamp=717324494, rssi=-108, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=119, tx_counter=63, tx_frequency=868000000)
27/7/2020 11:12:3 msg Hay buena cobertura de sensor 2 parc bit64 stats (rx_timestamp=728659386, rssi=-109, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=119, tx_counter=64, tx_frequency=868000000)
27/7/2020 11:12:14 msg Hay buena cobertura de sensor 2 parc bit65 stats (rx_timestamp=739944320, rssi=-109, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=119, tx_counter=65, tx_frequency=868000000)
27/7/2020 11:12:26 msg Hay buena cobertura de sensor 2 parc bit66 stats (rx_timestamp=750860210, rssi=-109, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=119, tx_counter=66, tx_frequency=868000000)
27/7/2020 11:12:37 msg Hay buena cobertura de sensor 2 parc bit67 stats (rx_timestamp=761798131, rssi=-108, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=113, tx_counter=67, tx_frequency=868000000)
27/7/2020 11:12:48 msg Hay buena cobertura de sensor 2 parc bit68 stats (rx_timestamp=772619044, rssi=-109, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=113, tx_counter=68, tx_frequency=868000000)
27/7/2020 11:12:59 msg Hay buena cobertura de sensor 2 parc bit69 stats (rx_timestamp=783885977, rssi=-109, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=119, tx_counter=69, tx_frequency=868000000)
27/7/2020 11:13:10 msg Hay buena cobertura de sensor 2 parc bit70 stats (rx_timestamp=794918877, rssi=-108, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=119, tx_counter=70, tx_frequency=868000000)
27/7/2020 11:13:21 msg Hay buena cobertura de sensor 2 parc bit71 stats (rx_timestamp=806178805, rssi=-110, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=119, tx_counter=71, tx_frequency=868000000)
27/7/2020 11:13:33 msg Hay buena cobertura de sensor 2 parc bit72 stats (rx_timestamp=819417703, rssi=-110, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=119, tx_counter=72, tx_frequency=868000000)
27/7/2020 11:13:44 msg Hay buena cobertura de sensor 2 parc bit73 stats (rx_timestamp=827760619, rssi=-110, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=113, tx_counter=73, tx_frequency=868000000)
27/7/2020 11:13:55 msg Hay buena cobertura de sensor 2 parc bit74 stats (rx_timestamp=839423547, rssi=-108, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=113, tx_counter=74, tx_frequency=868000000)
27/7/2020 11:14:6 msg Hay buena cobertura de sensor 2 parc bit75 stats (rx_timestamp=850306441, rssi=-109, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=113, tx_counter=75, tx_frequency=868000000)
27/7/2020 11:14:17 msg Hay buena cobertura de sensor 2 parc bit76 stats (rx_timestamp=861305382, rssi=-109, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=113, tx_counter=76, tx_frequency=868000000)
27/7/2020 11:14:28 msg Hay buena cobertura de sensor 2 parc bit77 stats (rx_timestamp=874608281, rssi=-110, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=119, tx_counter=77, tx_frequency=868000000)
27/7/2020 11:14:39 msg Hay buena cobertura de sensor 2 parc bit78 stats (rx_timestamp=885386172, rssi=-110, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=119, tx_counter=78, tx_frequency=868000000)
27/7/2020 11:14:51 msg Hay buena cobertura de sensor 2 parc bit79 stats (rx_timestamp=896743108, rssi=-109, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=113, tx_counter=79, tx_frequency=868000000)
27/7/2020 11:15:2 msg Hay buena cobertura de sensor 2 parc bit80 stats (rx_timestamp=905294020, rssi=-110, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=113, tx_counter=80, tx_frequency=868000000)
27/7/2020 11:15:13 msg Hay buena cobertura de sensor 2 parc bit81 stats (rx_timestamp=919484934, rssi=-110, snr=3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=113, tx_counter=81, tx_frequency=868000000)
27/7/2020 11:15:24 msg Hay buena cobertura de sensor 2 parc bit82 stats (rx_timestamp=930332848, rssi=-111, snr=3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=113, tx_counter=82, tx_frequency=868000000)
27/7/2020 11:15:36 msg Hay buena cobertura de sensor 2 parc bit83 stats (rx_timestamp=941398758, rssi=-110, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=119, tx_counter=83, tx_frequency=868000000)
27/7/2020 11:15:47 msg Hay buena cobertura de sensor 2 parc bit84 stats (rx_timestamp=952246652, rssi=-109, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=119, tx_counter=84, tx_frequency=868000000)
27/7/2020 11:15:58 msg Hay buena cobertura de sensor 2 parc bit85 stats (rx_timestamp=963561581, rssi=-109, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=119, tx_counter=85, tx_frequency=868000000)
27/7/2020 11:16:10 msg Hay buena cobertura de sensor 2 parc bit86 stats (rx_timestamp=974749788, rssi=-127, snr=-9.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=119, tx_counter=86, tx_frequency=868000000)
27/7/2020 11:16:21 msg Hay buena cobertura de sensor 2 parc bit87 stats (rx_timestamp=985827391, rssi=-109, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=119, tx_counter=87, tx_frequency=868000000)
27/7/2020 11:16:32 msg Hay buena cobertura de sensor 2 parc bit88 stats (rx_timestamp=996928332, rssi=-108, snr=5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=113, tx_counter=88, tx_frequency=868000000)
