=4, tx_time_on_air=103, tx_counter=615, tx_frequency=868000000)
29/7/2020 11:30:55 msg Config 13 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=635098309, rssi=-126, snr=-11.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=108, tx_counter=684, tx_frequency=868000000)
29/7/2020 11:30:59 msg Config 13 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=635098309, rssi=-126, snr=-11.0, sfrx=7, sftx=7, tx_trials=0, tx_power=13, tx_time_on_air=108, tx_counter=685, tx_frequency=868000000)
29/7/2020 11:31:3 msg Config 14 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=875036270, rssi=-119, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=108, tx_counter=686, tx_frequency=868000000)
29/7/2020 11:31:8 msg Config 14 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=875036270, rssi=-119, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=108, tx_counter=687, tx_frequency=868000000)
29/7/2020 11:31:11 msg Config 14 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=875036270, rssi=-119, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=688, tx_frequency=868000000)
29/7/2020 11:31:16 msg Config 14 30aea474cbcc 3c71bf875fa8 stats (rx_timestamp=875036270, rssi=-119, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=689, tx_frequency=868000000)
29/7/2020 11:35:52 msg stop 2 30aea474cbcc 3c71bf875fa8 30aea458f2e4 1 stats (rx_timestamp=1165686136, rssi=-121, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=690, tx_frequency=868000000)
29/7/2020 11:35:55 msg stop 3 30aea474cbcc 3c71bf875fa8 30aea458f2e4 1 stats (rx_timestamp=1165686136, rssi=-121, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=691, tx_frequency=868000000)
29/7/2020 11:36:6 msg Hello 2 3c71bf875fa8 stats (rx_timestamp=1179103517, rssi=-122, snr=-7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=124, tx_counter=692, tx_frequency=868000000)
29/7/2020 11:36:9 msg Hello 2 3c71bf875fa8 stats (rx_timestamp=1182376515, rssi=-121, snr=-9.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=693, tx_frequency=868000000)
