------------------------
15/9/2020 0:27:56 msg Hello 12 3c71bf875fa8 stats (rx_timestamp=1682544781, rssi=-89, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=196, tx_frequency=868000000)
15/9/2020 0:27:59 msg Hello 12 3c71bf875fa8 stats (rx_timestamp=1685214787, rssi=-89, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=197, tx_frequency=868000000)
15/9/2020 0:28:2 msg Hello 12 3c71bf875fa8 stats (rx_timestamp=1687882787, rssi=-89, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=198, tx_frequency=868000000)
15/9/2020 0:28:3 msg Hello 12 3c71bf875fa8 stats (rx_timestamp=1690560796, rssi=-88, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=199, tx_frequency=868000000)
15/9/2020 0:28:7 msg Hello 13 3c71bf875fa8 stats (rx_timestamp=1693227794, rssi=-87, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=200, tx_frequency=868000000)
15/9/2020 0:28:10 msg Hello 13 3c71bf875fa8 stats (rx_timestamp=1695895787, rssi=-87, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=201, tx_frequency=868000000)
15/9/2020 0:28:11 msg Hello 13 3c71bf875fa8 stats (rx_timestamp=1698565797, rssi=-86, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=202, tx_frequency=868000000)
15/9/2020 0:28:15 msg Hello 13 3c71bf875fa8 stats (rx_timestamp=1701210304, rssi=-88, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=203, tx_frequency=868000000)
15/9/2020 0:28:19 msg Discover normal 2 3c71bf875fa8 stats (rx_timestamp=1706348306, rssi=-87, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=88, tx_counter=204, tx_frequency=868000000)
15/9/2020 0:28:22 msg Discover normal 2 3c71bf875fa8 stats (rx_timestamp=1707809244, rssi=-121, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=98, tx_counter=205, tx_frequency=868000000)
15/9/2020 0:28:24 msg Discover normal 2 3c71bf875fa8 stats (rx_timestamp=1710458231, rssi=-122, snr=-7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=98, tx_counter=206, tx_frequency=868000000)
15/9/2020 0:28:27 msg Discover normal 2 3c71bf875fa8 stats (rx_timestamp=1713145439, rssi=-98, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=98, tx_counter=207, tx_frequency=868000000)
