15/9/2020 0:28:1 msg Discover normal 12 30aea458f354 stats (rx_timestamp=1687882787, rssi=-89, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=198, tx_frequency=868000000)
15/9/2020 0:28:3 msg Discover normal 12 30aea458f354 stats (rx_timestamp=1690560796, rssi=-88, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=199, tx_frequency=868000000)
15/9/2020 0:28:6 msg Discover normal 13 30aea458f354 stats (rx_timestamp=1693227794, rssi=-87, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=200, tx_frequency=868000000)
15/9/2020 0:28:9 msg Discover normal 13 30aea458f354 stats (rx_timestamp=1695895787, rssi=-87, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=201, tx_frequency=868000000)
15/9/2020 0:28:11 msg Discover normal 13 30aea458f354 stats (rx_timestamp=1698565797, rssi=-86, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=202, tx_frequency=868000000)
15/9/2020 0:28:14 msg Discover normal 13 30aea458f354 stats (rx_timestamp=1701210304, rssi=-88, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=203, tx_frequency=868000000)
15/9/2020 0:28:19 msg Discover next 14 1 stats (rx_timestamp=1706348306, rssi=-87, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=88, tx_counter=204, tx_frequency=868000000)
15/9/2020 0:28:21 msg Discover next 14 1 stats (rx_timestamp=1707809244, rssi=-121, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=98, tx_counter=205, tx_frequency=868000000)
15/9/2020 0:28:23 msg Hello 2 3c71bf877510 stats (rx_timestamp=1710458231, rssi=-122, snr=-7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=98, tx_counter=206, tx_frequency=868000000)
15/9/2020 0:28:25 msg Hello 2 3c71bf877510 stats (rx_timestamp=1712129213, rssi=-122, snr=-7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=98, tx_counter=207, tx_frequency=868000000)
15/9/2020 0:28:26 msg Hello 2 3c71bf877510 stats (rx_timestamp=1713145439, rssi=-98, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=98, tx_counter=207, tx_frequency=868000000)
15/9/2020 0:28:37 msg Hello 2 30aea458f354 stats (rx_timestamp=1723851447, rssi=-98, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=98, tx_counter=211, tx_frequency=868000000)
15/9/2020 0:28:38 msg Hello 3 30aea458f354 stats (rx_timestamp=1725510141, rssi=-120, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=98, tx_counter=212, tx_frequency=868000000)
15/9/2020 0:28:39 msg Hello 3 3c71bf877510 stats (rx_timestamp=1726523455, rssi=-97, snr=6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=98, tx_counter=212, tx_frequency=868000000)
15/9/2020 0:28:41 msg Hello 3 30aea458f354 stats (rx_timestamp=1728192497, rssi=-123, snr=-8.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=78, tx_counter=213, tx_frequency=868000000)
15/9/2020 0:28:44 msg Discover normal 2 3c71bf877510 stats (rx_timestamp=1730853483, rssi=-122, snr=-7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=78, tx_counter=213, tx_frequency=868000000)
15/9/2020 0:28:49 msg Discover normal 2 3c71bf877510 stats (rx_timestamp=1736175443, rssi=-123, snr=-8.0, sfrx=7, sftx=7, tx_trials=0, tx_power=14, tx_time_on_air=78, tx_counter=213, tx_frequency=868000000)
15/9/2020 0:28:54 msg Discover normal 2 3c71bf877510 stats (rx_timestamp=1741519416, rssi=-121, snr=-7.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=214, tx_frequency=868000000)
15/9/2020 0:29:0 msg Discover normal 3 3c71bf877510 stats (rx_timestamp=1746902388, rssi=-118, snr=-9.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=215, tx_frequency=868000000)
15/9/2020 0:29:10 msg Discover normal 4 3c71bf877510 stats (rx_timestamp=1757610234, rssi=-119, snr=-5.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=216, tx_frequency=868000000)
15/9/2020 0:29:13 msg Discover normal 4 3c71bf877510 stats (rx_timestamp=1760291266, rssi=-119, snr=-6.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=217, tx_frequency=868000000)
15/9/2020 0:29:16 msg Discover normal 5 3c71bf877510 stats (rx_timestamp=1762966243, rssi=-118, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=218, tx_frequency=868000000)
15/9/2020 0:29:18 msg Discover normal 5 3c71bf877510 stats (rx_timestamp=1765642224, rssi=-117, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=219, tx_frequency=868000000)
15/9/2020 0:29:24 msg Discover normal 5 3c71bf877510 stats (rx_timestamp=1771028243, rssi=-114, snr=-9.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=220, tx_frequency=868000000)
15/9/2020 0:29:32 msg Discover normal 6 3c71bf877510 stats (rx_timestamp=1779056188, rssi=-117, snr=-4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=221, tx_frequency=868000000)
15/9/2020 0:29:34 msg Discover normal 6 3c71bf877510 stats (rx_timestamp=1781737172, rssi=-116, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=222, tx_frequency=868000000)
15/9/2020 0:29:37 msg Discover normal 7 3c71bf877510 stats (rx_timestamp=1784413164, rssi=-117, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=223, tx_frequency=868000000)
15/9/2020 0:29:40 msg Discover normal 7 3c71bf877510 stats (rx_timestamp=1787089141, rssi=-117, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=224, tx_frequency=868000000)
15/9/2020 0:29:42 msg Discover normal 7 3c71bf877510 stats (rx_timestamp=1789765125, rssi=-117, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=225, tx_frequency=868000000)
15/9/2020 0:29:45 msg Discover normal 7 3c71bf877510 stats (rx_timestamp=1792474068, rssi=-115, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=226, tx_frequency=868000000)
15/9/2020 0:29:48 msg Discover normal 8 3c71bf877510 stats (rx_timestamp=1795148060, rssi=-115, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=227, tx_frequency=868000000)
15/9/2020 0:29:51 msg Discover normal 8 3c71bf877510 stats (rx_timestamp=1797824035, rssi=-115, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=228, tx_frequency=868000000)
15/9/2020 0:29:53 msg Discover normal 8 3c71bf877510 stats (rx_timestamp=1800500019, rssi=-116, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=229, tx_frequency=868000000)
15/9/2020 0:29:56 msg Discover normal 8 3c71bf877510 stats (rx_timestamp=1803182973, rssi=-115, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=230, tx_frequency=868000000)
15/9/2020 0:29:59 msg Discover normal 9 3c71bf877510 stats (rx_timestamp=1805858945, rssi=-115, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=231, tx_frequency=868000000)
15/9/2020 0:30:1 msg Discover normal 9 3c71bf877510 stats (rx_timestamp=1808562932, rssi=-115, snr=-2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=232, tx_frequency=868000000)
15/9/2020 0:30:4 msg Discover normal 9 3c71bf877510 stats (rx_timestamp=1811237915, rssi=-116, snr=-3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=3, tx_time_on_air=83, tx_counter=233, tx_frequency=868000000)
