stats (rx_timestamp=2709322498, rssi=-111, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6210, tx_frequency=868000000)
17/7/2020 4:23:24 msg Hay buena cobertura con mateu orfila 4044 stats (rx_timestamp=2926531751, rssi=-111, snr=3.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6296, tx_frequency=868000000)
17/7/2020 4:23:29 msg Hay buena cobertura con mateu orfila 4045 stats (rx_timestamp=2930708695, rssi=-112, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6297, tx_frequency=868000000)
17/7/2020 4:23:33 msg Hay buena cobertura con mateu orfila 4046 stats (rx_timestamp=2934885712, rssi=-111, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6299, tx_frequency=868000000)
17/7/2020 4:23:37 msg Hay buena cobertura con mateu orfila 4047 stats (rx_timestamp=2939062707, rssi=-111, snr=2.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6300, tx_frequency=868000000)
17/7/2020 4:23:41 msg Hay buena cobertura con mateu orfila 4048 stats (rx_timestamp=2943239689, rssi=-110, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6302, tx_frequency=868000000)
17/7/2020 4:23:45 msg Hay buena cobertura con mateu orfila 4049 stats (rx_timestamp=2947416672, rssi=-112, snr=1.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6304, tx_frequency=868000000)
17/7/2020 4:23:50 msg Hay buena cobertura con mateu orfila 4050 stats (rx_timestamp=2951593650, rssi=-109, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6305, tx_frequency=868000000)
17/7/2020 4:23:54 msg Hay buena cobertura con mateu orfila 4051 stats (rx_timestamp=2955770593, rssi=-110, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6307, tx_frequency=868000000)
17/7/2020 4:23:58 msg Hay buena cobertura con mateu orfila 4052 stats (rx_timestamp=2959947576, rssi=-109, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6309, tx_frequency=868000000)
17/7/2020 4:24:2 msg Hay buena cobertura con mateu orfila 4053 stats (rx_timestamp=2964124560, rssi=-109, snr=4.0, sfrx=7, sftx=7, tx_trials=0, tx_power=2, tx_time_on_air=108, tx_counter=6310, tx_frequency=868000000)
